L,n_sweeps,rep,dwd
256,400,11,0.00000000
256,400,12,0.00405884
256,400,13,0.00000000
256,400,14,0.00404358
256,400,15,0.00782776
256,400,16,0.00000000
256,400,17,0.00000000
256,400,18,0.00000000
256,400,19,0.00000000
256,800,0,0.00000000
256,800,1,0.00410461
256,800,2,0.00000000
256,800,3,0.00000000
256,800,4,0.00408936
256,800,5,0.00781250
256,800,6,0.00000000
256,800,7,0.00000000
256,800,8,0.00410461
256,800,9,0.00404358
256,800,10,0.00000000
256,800,11,0.00000000
256,800,12,0.00404358
256,800,13,0.00000000
256,800,14,0.00000000
256,800,15,0.00439453
256,800,16,0.00000000
256,800,17,0.00000000
256,800,18,0.00000000
256,800,19,0.00000000
256,1600,0,0.00000000
256,1600,1,0.00000000
256,1600,2,0.00000000
256,1600,3,0.00000000
256,1600,4,0.00408936
256,1600,5,0.00000000
256,1600,6,0.00000000
256,1600,7,0.00000000
256,1600,8,0.00000000
256,1600,9,0.00000000
256,1600,10,0.00415039
256,1600,11,0.00407410
256,1600,12,0.00000000
256,1600,13,0.00000000
256,1600,14,0.00401306
256,1600,15,0.00407410
256,1600,16,0.00000000
256,1600,17,0.00000000
256,1600,18,0.00000000
256,1600,19,0.00000000
256,3200,0,0.00000000
256,3200,1,0.00408936
256,3200,2,0.00404358
256,3200,3,0.00415039
256,3200,4,0.00405884
256,3200,5,0.00000000
256,3200,6,0.00000000
256,3200,7,0.00000000
256,3200,8,0.00000000
256,3200,9,0.00000000
256,3200,10,0.00404358
256,3200,11,0.00404358
256,3200,12,0.00000000
256,3200,13,0.00000000
256,3200,14,0.00404358
256,3200,15,0.00000000
256,3200,16,0.00000000
256,3200,17,0.00408936
256,3200,18,0.00000000
256,3200,19,0.00000000
256,6400,0,0.00401306
256,6400,1,0.00404358
256,6400,2,0.00000000
256,6400,3,0.00000000
256,6400,4,0.00000000
256,6400,5,0.00781250
256,6400,6,0.00410461
256,6400,7,0.00000000
256,6400,8,0.00407410
256,6400,9,0.00405884
256,6400,10,0.00000000
256,6400,11,0.00410461
256,6400,12,0.00408936
256,6400,13,0.00399780
256,6400,14,0.00000000
256,6400,15,0.00000000
256,6400,16,0.00000000
256,6400,17,0.00413513
256,6400,18,0.00000000
256,6400,19,0.00000000
256,12800,0,0.00000000
256,12800,1,0.00410461
256,12800,2,0.00407410
256,12800,3,0.00000000
256,12800,4,0.00000000
256,12800,5,0.00402832
256,12800,6,0.00000000
256,12800,7,0.00410461
256,12800,8,0.00000000
256,12800,9,0.00000000
256,12800,10,0.00000000
256,12800,11,0.00405884
256,12800,12,0.00404358
256,12800,13,0.00404358
256,12800,14,0.00405884
256,12800,15,0.00000000
256,12800,16,0.00402832
256,12800,17,0.00399780
256,12800,18,0.00000000
256,12800,19,0.00000000
256,25600,0,0.00404358
256,25600,1,0.00402832
256,25600,2,0.00401306
256,25600,3,0.00000000
256,25600,4,0.00405884
256,25600,5,0.00000000
256,25600,6,0.00000000
256,25600,7,0.00000000
256,25600,8,0.00000000
256,25600,9,0.00401306
256,25600,10,0.00000000
256,25600,11,0.00000000
256,25600,12,0.00000000
256,25600,13,0.00000000
256,25600,14,0.00408936
256,25600,15,0.00000000
256,25600,16,0.00000000
256,25600,17,0.00000000
256,25600,18,0.00000000
256,25600,19,0.00404358
256,51200,0,0.00000000
256,51200,1,0.00000000
256,51200,2,0.00407410
256,51200,3,0.00000000
256,51200,4,0.00404358
256,51200,5,0.00000000
256,51200,6,0.00000000
256,51200,7,0.00000000
256,51200,8,0.00405884
256,51200,9,0.00404358
256,51200,10,0.00410461
256,51200,11,0.00000000
256,51200,12,0.00000000
256,51200,13,0.00000000
256,51200,14,0.00000000
256,51200,15,0.00000000
256,51200,16,0.00000000
256,51200,17,0.00000000
256,51200,18,0.00405884
256,51200,19,0.00000000
256,102400,0,0.00000000
256,102400,1,0.00000000
256,102400,2,0.00000000
256,102400,3,0.00000000
256,102400,4,0.00408936
256,102400,5,0.00000000
256,102400,6,0.00000000
256,102400,7,0.00000000
256,102400,8,0.00000000
256,102400,9,0.00000000
256,102400,10,0.00405884
256,102400,11,0.00000000
256,102400,12,0.00402832
256,102400,13,0.00000000
256,102400,14,0.00000000
256,102400,15,0.00000000
256,102400,16,0.00000000
256,102400,17,0.00000000
256,102400,18,0.00407410
256,102400,19,0.00000000
256,204800,0,0.00000000
256,204800,1,0.00000000
256,204800,2,0.00000000
256,204800,3,0.00000000
256,204800,4,0.00000000
256,204800,5,0.00000000
256,204800,6,0.00000000
256,204800,7,0.00000000
256,204800,8,0.00000000
256,204800,9,0.00000000
256,204800,10,0.00000000
256,204800,11,0.00000000
256,204800,12,0.00000000
256,204800,13,0.00000000
256,204800,14,0.00000000
256,204800,15,0.00000000
256,204800,16,0.00000000
256,204800,17,0.00398254
256,204800,18,0.00000000
256,204800,19,0.00000000
512,200,0,0.00389481
512,200,1,0.00426102
512,200,2,0.00323105
512,200,3,0.00386810
512,200,4,0.00399399
512,200,5,0.00385284
512,200,6,0.00400925
512,200,7,0.00296021
512,200,8,0.00519180
512,200,9,0.00339508
512,200,10,0.00466156
512,200,11,0.00405121
512,200,12,0.00386047
512,200,13,0.00424957
512,200,14,0.00423431
512,200,15,0.00448990
512,200,16,0.00391388
512,200,17,0.00334167
512,200,18,0.00355530
512,200,19,0.00334167
512,400,0,0.00189209
512,400,1,0.00124741
512,400,2,0.00075531
512,400,3,0.00391006
512,400,4,0.00205612
512,400,5,0.00000000
512,400,6,0.00176620
512,400,7,0.00260162
512,400,8,0.00186920
512,400,9,0.00207901
512,400,10,0.00102234
512,400,11,0.00215530
512,400,12,0.00068665
512,400,13,0.00242996
512,400,14,0.00217056
512,400,15,0.00226212
512,400,16,0.00205612
512,400,17,0.00236893
512,400,18,0.00212097
512,400,19,0.00220108
512,800,0,0.00207138
512,800,1,0.00000000
512,800,2,0.00000000
512,800,3,0.00000000
512,800,4,0.00206375
512,800,5,0.00000000
512,800,6,0.00000000
512,800,7,0.00000000
512,800,8,0.00000000
512,800,9,0.00210190
512,800,10,0.00204468
512,800,11,0.00000000
512,800,12,0.00000000
512,800,13,0.00206375
512,800,14,0.00000000
512,800,15,0.00000000
512,800,16,0.00000000
512,800,17,0.00205994
512,800,18,0.00204849
512,800,19,0.00000000
512,1600,0,0.00202179
512,1600,1,0.00000000
512,1600,2,0.00000000
512,1600,3,0.00203705
512,1600,4,0.00000000
512,1600,5,0.00000000
512,1600,6,0.00000000
512,1600,7,0.00207520
512,1600,8,0.00000000
512,1600,9,0.00000000
512,1600,10,0.00000000
512,1600,11,0.00204468
512,1600,12,0.00000000
